Monthly Southeast England precipitation (mm). Daily automated values used after 1996.
Wigley & Jones (J.Climatol.,1987), Gregory et al. (Int.J.Clim.,1991)
Jones & Conway (Int.J.Climatol.,1997), Alexander & Jones (ASL,2001). Values may change after QC.
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
 1916  37.5 106.6 110.7  28.3  48.3  58.3  37.3  81.1  39.4 107.6 106.7  87.9  849.7
 1917  37.3  27.6  50.2  49.3  46.8  63.5  85.8 135.1  48.6 107.4  31.1  32.9  715.6
 1918  77.5  30.3  24.2  81.5  50.8  24.4 104.2  35.0 151.1  40.3  57.8  65.3  742.4
 1919 116.5  65.6 106.3  63.6   9.1  24.7  55.8  71.7  41.8  23.9  51.4 121.4  751.8
 1920  79.2  14.3  44.8  79.6  36.1  58.8 116.9  31.8  65.7  52.9  37.1  65.3  682.5
 1921  70.8  12.1  34.5  29.1  35.5   5.8   7.3  46.6  33.8  26.0  51.9  43.0  396.4
 1922  86.9  62.5  51.8  82.3  27.4  34.3  92.2  84.2  47.5  24.5  40.3  81.1  715.0
 1923  36.6 103.4  59.3  64.5  58.9  11.0  58.8  58.9  56.6 142.5  41.4  73.1  765.0
 1924  71.5  13.1  32.3  73.7 100.1  65.8  91.4  67.9 106.0 110.2  64.7 101.1  897.8
 1925  76.5  96.3  18.1  62.6  76.2   1.3  98.1  77.8  70.3  91.0  67.2  76.1  811.5
 1926  91.6  64.3  11.1  77.9  57.3  79.2  52.1  31.5  32.5  67.6 143.8  11.1  720.0
 1927  63.1 100.8  72.0  45.6  30.6  82.8  78.4 105.2 138.5  51.4  77.9  93.3  939.6
 1928 112.8  47.5  50.7  40.8  44.0  59.4  58.4  68.1  20.8 137.0  75.3  77.3  792.1
 1929  34.0  23.1   2.0  28.8  51.3  31.2  43.3  43.1  10.4  97.8 175.6 148.8  689.4
 1930  92.1  21.8  36.2  55.0  64.3  18.8  61.3  70.0  80.9  41.6 121.0  72.5  735.5
 1931  47.4  47.9  12.5  87.8  73.1  52.9  82.7 101.3  58.2  16.9  96.1  22.5  699.3
 1932  61.3   5.9  41.9  64.5 119.9  30.4  73.2  47.7  66.6 146.4  38.7  21.4  717.9
 1933  52.4  70.6  74.1  25.8  57.3  41.4  44.4  22.6  74.0  44.1  28.5  14.5  549.8
 1934  52.4   4.9  61.6  54.8  16.8  35.8  38.3  54.8  51.8  46.3  70.5 176.3  664.2
 1935  23.4  85.2  14.8  85.9  46.7  83.1  31.2  75.0 106.3  93.5 148.2  82.8  876.0
