  1948         2013
 1994   -0.272   -0.289   -0.260   -0.176   -0.187   -0.202   -0.209   -0.208   -0.118   -0.023    0.004   -0.076
 1995   -0.046   -0.018    0.041    0.097    0.284    0.387    0.335    0.206    0.078    0.121    0.140    0.055
 1996    0.006   -0.015   -0.042    0.026   -0.049   -0.108   -0.090    0.013    0.020   -0.127   -0.157   -0.133
 1997   -0.068   -0.015    0.024    0.024    0.053    0.031    0.085    0.037    0.126    0.167    0.064    0.148
 1998    0.150    0.311    0.340    0.314    0.396    0.508    0.512    0.540    0.440    0.410    0.344    0.300
 1999    0.072    0.077    0.091    0.078    0.187    0.213    0.228    0.338    0.217    0.053   -0.016    0.040
 2000   -0.062   -0.019    0.122    0.068    0.128    0.007    0.097    0.127    0.128   -0.013   -0.024   -0.100
 2001   -0.099   -0.001    0.045    0.017    0.009    0.221    0.164    0.209    0.323    0.289    0.184    0.234
 2002    0.200    0.189    0.170    0.054   -0.025   -0.091   -0.035    0.137    0.113    0.143    0.046    0.028
 2003    0.075    0.007    0.129    0.098    0.176    0.234    0.313    0.452    0.481    0.454    0.250    0.249
 2004    0.233    0.231    0.179    0.134    0.020    0.200    0.257    0.344    0.266    0.271    0.255    0.215
 2005    0.137    0.147    0.306    0.318    0.313    0.351    0.479    0.469    0.448    0.265    0.161    0.239
 2006    0.145    0.093    0.080    0.222    0.330    0.361    0.408    0.439    0.397    0.364    0.306    0.192
 2007    0.193    0.237    0.150    0.185    0.134    0.116    0.162    0.087    0.129    0.189    0.204    0.133
 2008    0.051    0.150    0.185    0.071    0.193    0.287    0.237    0.201    0.228    0.129    0.031    0.049
 2009   -0.032   -0.137   -0.139   -0.103   -0.039    0.152    0.259    0.182    0.086    0.198    0.098    0.112
 2010    0.068    0.201    0.313    0.457    0.486    0.476    0.482    0.559    0.481    0.357    0.269    0.240
 2011    0.173    0.134    0.082    0.119    0.172    0.206    0.126    0.180    0.183    0.094   -0.045   -0.020
 2012   -0.041    0.028    0.048    0.109    0.191    0.332    0.412    0.468    0.482    0.372    0.206    0.173
 2013    0.155    0.144    0.186    0.168    0.132    0.078    0.218    0.226    0.290  -99.990  -99.990  -99.990
  -99.99
  AMO unsmoothed, detrended from the Kaplan SST V2
  Calculated at NOAA/ESRL/PSD1
  http://www.esrl.noaa.gov/psd/data/timeseriesimeseries/AMO/
