450.00 0.063592 	0.042
460.00 0.064973 	0.04625
470.00 0.065947 	0.0505
480.00 0.067204 	0.05475
490.00 0.073066 	0.059
500.00 0.087914 	0.0635
510.00 0.134514 	0.06775
520.00 0.207983 	0.07225
530.00 0.240192 	0.077
540.00 0.258213 	0.082
550.00 0.271862 	0.08725
560.00 0.252160 	0.09325
570.00 0.214580 	0.0995
580.00 0.187903 	0.10525
590.00 0.175338 	0.11025
600.00 0.159635 	0.11475
610.00 0.137162 	0.1185
620.00 0.128248 	0.12225
630.00 0.123863 	0.126
640.00 0.103339 	0.12975
650.00 0.082353 	0.1335
660.00 0.063123 	0.13725
670.00 0.058238 	0.14125
680.00 0.068994 	0.14525
690.00 0.159708 	0.1495
700.00 0.347959 	0.15375
710.00 0.532188 	0.15825
720.00 0.710894 	0.16275
730.00 0.843173 	0.1675
740.00 0.927617 	0.172
750.00 0.947513 	0.1765
760.00 0.968175 	0.18075
770.00 0.968411 	0.18475
780.00 0.968625 	0.1885
790.00 0.968817 	0.19225
800.00 0.969001 	0.1955
810.00 0.969231 	0.1985
820.00 0.969461 	0.20125
830.00 0.969694 	0.2035
840.00 0.969929 	0.2055
850.00 0.970166 	0.20725
860.00 0.970406 	0.209
870.00 0.970647 	0.211
880.00 0.970892 	0.21275
890.00 0.971138 	0.21475
900.00 0.971384 	0.21675
910.00 0.971631 	0.219
920.00 0.971855 	0.221
930.00 0.971871 	0.2235
940.00 0.971981 	0.22575
950.00 0.972232 	0.22825
960.00 0.972486 	0.231
970.00 0.972741 	0.23375
980.00 0.973001 	0.2365
990.00 0.972560 	0.2395
1000.00 0.970485 	0.24225
1010.00 0.968429 	0.245
1020.00 0.966384 	0.248
1030.00 0.964816 	0.25075
1040.00 0.963944 	0.2535
1050.00 0.965643 	0.25625
1060.00 0.966096 	0.25875
1070.00 0.965303 	0.2615
1080.00 0.965244 	0.264
1090.00 0.965264 	0.26625
1100.00 0.964346 	0.2685
1110.00 0.964162 	0.27025
1120.00 0.965079 	0.272
1130.00 0.959823 	0.27375
1140.00 0.951922 	0.275
1150.00 0.953067 	0.2765
1160.00 0.952878 	0.27775
1170.00 0.949577 	0.279
1180.00 0.946860 	0.2805
1190.00 0.944533 	0.282
1200.00 0.945118 	0.28325
1210.00 0.946116 	0.28475
1220.00 0.947476 	0.2865
1230.00 0.949148 	0.28825
1240.00 0.951132 	0.29
1250.00 0.951912 	0.292
1260.00 0.952092 	0.29425
1270.00 0.949578 	0.296
1280.00 0.947803 	0.29725
1290.00 0.947137 	0.29775
1300.00 0.945254 	0.29775
1310.00 0.942849 	0.297
1320.00 0.933469 	0.29575
1330.00 0.923826 	0.2935
1340.00 0.913566 	0.291
1350.00 0.906123 	0.28775
1360.00 0.900559 	0.284
1370.00 0.879174 	0.27925
1380.00 0.845090 	0.27025
1390.00 0.767238 	0.255
1400.00 0.696026 	0.23375
1410.00 0.631454 	0.21125
1420.00 0.597849 	0.197
1430.00 0.573280 	0.1905
1440.00 0.560370 	0.187
1450.00 0.553085 	0.18575
1460.00 0.554239 	0.1865
1470.00 0.563025 	0.18925
1480.00 0.575082 	0.19425
1490.00 0.632206 	0.20075
1500.00 0.676808 	0.208
1510.00 0.692189 	0.216
1520.00 0.715617 	0.2245
1530.00 0.744409 	0.2325
1540.00 0.763470 	0.24
1550.00 0.780587 	0.247
1560.00 0.794256 	0.2535
1570.00 0.805303 	0.25925
1580.00 0.813727 	0.2645
1590.00 0.821957 	0.26925
1600.00 0.830306 	0.27325
1610.00 0.840173 	0.27675
1620.00 0.847550 	0.27975
1630.00 0.851191 	0.2825
1640.00 0.855295 	0.28475
1650.00 0.859598 	0.28675
1660.00 0.864286 	0.28825
1670.00 0.868162 	0.28925
1680.00 0.870147 	0.29025
1690.00 0.869521 	0.2905
1700.00 0.867156 	0.29075
1710.00 0.860452 	0.29025
1720.00 0.854068 	0.28925
1730.00 0.850891 	0.28775
1740.00 0.845979 	0.286
1750.00 0.839332 	0.2835
1760.00 0.828958 	0.2805
1770.00 0.818046 	0.27725
1780.00 0.810660 	0.2735
1790.00 0.809346 	0.2705
1800.00 0.817140 	0.2685
1810.00 0.819071 	0.2665
1820.00 0.818489 	0.264
1830.00 0.812702 	0.261
1840.00 0.800272 	0.2575
1850.00 0.772343 	0.251
1860.00 0.715193 	0.2405
1870.00 0.638564 	0.22375
1880.00 0.528317 	0.195
1890.00 0.422205 	0.15625
1900.00 0.347576 	0.12375
1910.00 0.299588 	0.1055
1920.00 0.278240 	0.09
1930.00 0.281764 	0.0815
1940.00 0.291937 	0.08075
1950.00 0.306000 	0.08225
1960.00 0.325692 	0.085
1970.00 0.353830 	0.08875
1980.00 0.367305 	0.0935
1990.00 0.374497 	0.09925
2000.00 0.394843 	0.105
2010.00 0.418702 	0.1115
2020.00 0.450759 	0.118
2030.00 0.480485 	0.125
2040.00 0.508659 	0.132
2050.00 0.516383 	0.13875
2060.00 0.524117 	0.1455
2070.00 0.540977 	0.152
2080.00 0.554827 	0.15825
2090.00 0.565665 	0.16475
2100.00 0.581016 	0.17075
2110.00 0.597000 	0.17675
2120.00 0.608537 	0.18275
2130.00 0.620337 	0.1875
2140.00 0.632528 	0.1915
2150.00 0.643356 	0.1945
2160.00 0.653599 	0.1965
2170.00 0.673753 	0.19775
2180.00 0.688277 	0.19875
2190.00 0.689664 	0.1995
2200.00 0.692670 	0.2
2210.00 0.696755 	0.20025
2220.00 0.691406 	0.20025
2230.00 0.684558 	0.2
2240.00 0.675907 	0.1995
2250.00 0.666812 	0.1985
2260.00 0.657271 	0.19725
2270.00 0.649871 	0.1955
2280.00 0.642916 	0.19325
2290.00 0.635140 	0.19075
2300.00 0.622829 	0.18775
2310.00 0.603715 	0.1845
2320.00 0.587654 	0.18075
2330.00 0.572901 	0.17675
2340.00 0.565405 	0.172
2350.00 0.551588 	0.167
2360.00 0.523023 	0.16125
2370.00 0.504686 	0.155
2380.00 0.493169 	0.148
2390.00 0.489472 	0.1405
2400.00 0.484104 	0.1325
2410.00 0.468580 	0.12475
2420.00 0.449381 	0.11725
2430.00 0.426509 	0.10975
2440.00 0.408937 	0.1025
2450.00 0.393921 	0.09525
2460.00 0.389969 	0.08825
2470.00 0.380612 	0.081
2480.00 0.363147 	0.07375
2490.00 0.363829 	0.06625
2500.00 0.372288 	0.05875
